No,Bulan,Tonase (Ton),Ritasi (Rit),Kompensasi Jasa Pelayanan (Rp),Kompensasi Dampak Negatif (Rp)
1,Januari,41818.504,8404,2090925200,439698780
2,Februari,36800.036,7425,1840001800,387375270
3,Maret,40453.812,8187,2022690600,426208590
4,April,38104.752,7672,1905237600,400865640
5,Mei,40669.44,8167,2033472000,427525800
6,Juni,38462.228,7708,1923111400,404086710
7,Juli,42520.604,8522,2126030200,446734530
8,Agustus,41228.58,8249,2061429000,432949350
9,September,40997.49,8168,2049874500,430001175
10,Oktober,43576.848,8610,2178842400,455976360
11,November,41633.19,8242,2081659500,435878925
12,Desember,42840.952,8447,2142047600,448012140